Date,Currency1,Currency2
2024-05-01,78.45,56.78
2024-05-02,78.50,56.80
2024-05-03,78.55,56.82
2024-05-04,78.60,56.85
2024-05-05,78.65,56.87
2024-05-06,78.70,56.90
2024-05-07,78.95,57.12
2024-05-08,78.80,56.95
2024-05-09,78.85,56.97
2024-05-10,78.90,57.00
2024-05-11,78.95,57.02
2024-05-12,79.00,57.05
2024-05-13,79.05,57.07
2024-05-14,79.10,57.10
2024-05-18,78.75,57.05
2024-05-20,78.95,57.12
2024-05-21,78.90,57.15
2024-05-22,78.85,57.1
2024-05-23,78.80,57.20
2024-05-24,78.75,57.22
2024-05-26,78.70,57.25
2024-05-28,78.60,57.30
2024-05-30,78.55,57.35
2024-06-02,78.50,57.40
